Annotation Cluster 1	Enrichment Score: 1.5073307514188146
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	RNA-binding	3	75.0	0.0030603397214571124	NXF1, XPO1, ELAVL1	4	665	20581	23.211654135338346	0.05367628826366433	0.05508611498622802	0.042844756100399575
GOTERM_MF_DIRECT	GO:0003723~RNA binding	3	75.0	0.003076663557472136	NXF1, XPO1, ELAVL1	4	547	16881	23.14579524680073	0.0626603076233676	0.04100101866045441	0.03904858920043276
GOTERM_CC_DIRECT	GO:0005829~cytosol	4	100.0	0.0060144767237693825	NXF1, XPO1, FBXO6, ELAVL1	4	3315	18224	5.4974358974358974	0.1189891762273142	0.12630401119915702	0.12630401119915702
UP_KEYWORDS	Cytoplasm	4	100.0	0.012807157351838036	NXF1, XPO1, FBXO6, ELAVL1	4	4816	20581	4.273463455149502	0.2070679657933382	0.09223466813275512	0.0717380752143651
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	4	100.0	0.023518057046894737	NXF1, XPO1, FBXO6, ELAVL1	4	5222	18224	3.489850631941785	0.39333554255063163	0.24693959899239473	0.24693959899239473
UP_SEQ_FEATURE	mutagenesis site	3	75.0	0.03316171081357115	NXF1, XPO1, FBXO6	4	2191	20063	6.8677544500228205	0.7128610388379498	1.0	1.0
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	3	75.0	0.06286689268102041	NXF1, XPO1, ELAVL1	4	2784	18224	4.9094827586206895	0.7442433694308013	0.4400682487671429	0.4400682487671429
UP_KEYWORDS	Phosphoprotein	4	100.0	0.06430368528231807	NXF1, XPO1, FBXO6, ELAVL1	4	8246	20581	2.4958767887460587	0.6977066859205071	0.22143321518254183	0.1722258340308659
UP_KEYWORDS	Acetylation	3	75.0	0.07381107172751394	NXF1, XPO1, ELAVL1	4	3424	20581	4.508104556074767	0.748468412477292	0.22143321518254183	0.1722258340308659
GOTERM_MF_DIRECT	GO:0005515~protein binding	4	100.0	0.14091578696635107	NXF1, XPO1, FBXO6, ELAVL1	4	8785	16881	1.921570859419465	0.9588139156915834	0.5918463052586745	0.5636631478654043
UP_KEYWORDS	Nucleus	3	75.0	0.16166861642452246	NXF1, XPO1, ELAVL1	4	5244	20581	2.9435068649885583	0.9581704644026211	0.36375438695517553	0.2829200787429143
GOTERM_CC_DIRECT	GO:0005634~nucleus	3	75.0	0.21238685484035202	NXF1, XPO1, ELAVL1	4	5415	18224	2.5240997229916897	0.9933538204050553	1.0	1.0

